vehicle_category,euro_standard,country,fleet_year
Motorcycles,Euro 4,North Macedonia,2020
Passenger Cars,Euro 4,North Macedonia,2020
Buses,Euro V,Norway,2020
Heavy Duty Trucks,Euro V,Norway,2020
Light Commercial Vehicles,Euro 5,Norway,2020
Motorcycles,Euro 5,Norway,2020
Passenger Cars,Euro 5,Norway,2020
Buses,Euro IV,Poland,2020
Heavy Duty Trucks,Euro IV,Poland,2020
Light Commercial Vehicles,Euro 4,Poland,2020
Motorcycles,Euro 4,Poland,2020
Passenger Cars,Euro 4,Poland,2020
Buses,Euro IV,Portugal,2020
Heavy Duty Trucks,Euro IV,Portugal,2020
Light Commercial Vehicles,Euro 4,Portugal,2020
Motorcycles,Euro 4,Portugal,2020
Passenger Cars,Euro 4,Portugal,2020
Buses,Euro III,Romania,2020
Heavy Duty Trucks,Euro III,Romania,2020
Light Commercial Vehicles,Euro 3,Romania,2020
Motorcycles,Euro 3,Romania,2020
Passenger Cars,Euro 3,Romania,2020
Buses,Euro V,Serbia,2020
Heavy Duty Trucks,Euro V,Serbia,2020
Light Commercial Vehicles,Euro 4,Serbia,2020
Motorcycles,Euro 4,Serbia,2020
Passenger Cars,Euro 4,Serbia,2020
Buses,Euro V,Slovenia,2020
Heavy Duty Trucks,Euro V,Slovenia,2020
Light Commercial Vehicles,Euro 4,Slovenia,2020
Motorcycles,Euro 4,Slovenia,2020
Passenger Cars,Euro 4,Slovenia,2020
Buses,Euro IV,Spain,2020
Heavy Duty Trucks,Euro IV,Spain,2020
Light Commercial Vehicles,Euro 4,Spain,2020
Motorcycles,Euro 4,Spain,2020
Passenger Cars,Euro 4,Spain,2020
Buses,Euro V,Sweden,2020
Heavy Duty Trucks,Euro V,Sweden,2020
Light Commercial Vehicles,Euro 5,Sweden,2020
Motorcycles,Euro 5,Sweden,2020
Passenger Cars,Euro 5,Sweden,2020
Buses,Euro V,Switzerland,2020
Heavy Duty Trucks,Euro V,Switzerland,2020
Light Commercial Vehicles,Euro 5,Switzerland,2020
Motorcycles,Euro 5,Switzerland,2020
Passenger Cars,Euro 5,Switzerland,2020
Buses,Euro V,Turkey,2020
Heavy Duty Trucks,Euro V,Turkey,2020
Light Commercial Vehicles,Euro 4,Turkey,2020
Motorcycles,Euro 4,Turkey,2020
Passenger Cars,Euro 4,Turkey,2020
Buses,Euro V,United Kingdom,2020
Heavy Duty Trucks,Euro V,United Kingdom,2020
Light Commercial Vehicles,Euro 5,United Kingdom,2020
Motorcycles,Euro 5,United Kingdom,2020
Passenger Cars,Euro 5,United Kingdom,2020
Buses,Euro V,EU28,2020
Heavy Duty Trucks,Euro V,EU28,2020
Light Commercial Vehicles,Euro 4,EU28,2020
Motorcycles,Euro 4,EU28,2020
Passenger Cars,Euro 4,EU28,2020
Buses,Euro VI A/B/C,Albania,2025
Heavy Duty Trucks,Euro VI A/B/C,Albania,2025
Light Commercial Vehicles,Euro 5,Albania,2025
Motorcycles,Euro 5,Albania,2025
Passenger Cars,Euro 5,Albania,2025
Buses,Euro VI A/B/C,Austria,2025
Heavy Duty Trucks,Euro VI A/B/C,Austria,2025
Light Commercial Vehicles,Euro 6 a/b/c,Austria,2025
Motorcycles,Euro 5,Austria,2025
Passenger Cars,Euro 6 a/b/c,Austria,2025
Buses,Euro VI A/B/C,Belgium,2025
Heavy Duty Trucks,Euro VI A/B/C,Belgium,2025
Light Commercial Vehicles,Euro 6 a/b/c,Belgium,2025
Motorcycles,Euro 5,Belgium,2025
Passenger Cars,Euro 6 a/b/c,Belgium,2025
Buses,Euro VI A/B/C,Bulgaria,2025
Heavy Duty Trucks,Euro VI A/B/C,Bulgaria,2025
Light Commercial Vehicles,Euro 5,Bulgaria,2025
Motorcycles,Euro 5,Bulgaria,2025
Passenger Cars,Euro 5,Bulgaria,2025
Buses,Euro V,Croatia,2025
Heavy Duty Trucks,Euro V,Croatia,2025
Light Commercial Vehicles,Euro 5,Croatia,2025
Motorcycles,Euro 5,Croatia,2025
Passenger Cars,Euro 5,Croatia,2025
Buses,Euro VI A/B/C,Cyprus,2025
Heavy Duty Trucks,Euro VI A/B/C,Cyprus,2025
Light Commercial Vehicles,Euro 5,Cyprus,2025
Motorcycles,Euro 5,Cyprus,2025
Passenger Cars,Euro 5,Cyprus,2025
Buses,Euro V,Czech Republic,2025
Heavy Duty Trucks,Euro V,Czech Republic,2025
Light Commercial Vehicles,Euro 5,Czech Republic,2025
Motorcycles,Euro 5,Czech Republic,2025
Passenger Cars,Euro 5,Czech Republic,2025
Buses,Euro VI A/B/C,Denmark,2025
Heavy Duty Trucks,Euro VI A/B/C,Denmark,2025
Light Commercial Vehicles,Euro 6 a/b/c,Denmark,2025
Motorcycles,Euro 5,Denmark,2025
Passenger Cars,Euro 6 a/b/c,Denmark,2025
Buses,Euro VI A/B/C,EU27,2025
Heavy Duty Trucks,Euro VI A/B/C,EU27,2025
Light Commercial Vehicles,Euro 5,EU27,2025
Motorcycles,Euro 5,EU27,2025
Passenger Cars,Euro 5,EU27,2025
Buses,Euro V,Estonia,2025
Heavy Duty Trucks,Euro V,Estonia,2025
Light Commercial Vehicles,Euro 4,Estonia,2025
Motorcycles,Euro 4,Estonia,2025
Passenger Cars,Euro 4,Estonia,2025
Buses,Euro V,Finland,2025
Heavy Duty Trucks,Euro V,Finland,2025
Light Commercial Vehicles,Euro 5,Finland,2025
Motorcycles,Euro 5,Finland,2025
Passenger Cars,Euro 5,Finland,2025
Buses,Euro VI A/B/C,France,2025
Heavy Duty Trucks,Euro VI A/B/C,France,2025
Light Commercial Vehicles,Euro 5,France,2025
Motorcycles,Euro 5,France,2025
Passenger Cars,Euro 5,France,2025
Buses,Euro VI A/B/C,Germany,2025
Heavy Duty Trucks,Euro VI A/B/C,Germany,2025
Light Commercial Vehicles,Euro 6 a/b/c,Germany,2025
Motorcycles,Euro 5,Germany,2025
Passenger Cars,Euro 6 a/b/c,Germany,2025
Buses,Euro V,Greece,2025
Heavy Duty Trucks,Euro V,Greece,2025
Light Commercial Vehicles,Euro 4,Greece,2025
Motorcycles,Euro 4,Greece,2025
Passenger Cars,Euro 4,Greece,2025
Buses,Euro V,Hungary,2025
Heavy Duty Trucks,Euro V,Hungary,2025
Light Commercial Vehicles,Euro 5,Hungary,2025
Motorcycles,Euro 5,Hungary,2025
Passenger Cars,Euro 5,Hungary,2025
Buses,Euro VI A/B/C,Iceland,2025
Heavy Duty Trucks,Euro VI A/B/C,Iceland,2025
Light Commercial Vehicles,Euro 5,Iceland,2025
Motorcycles,Euro 5,Iceland,2025
Passenger Cars,Euro 5,Iceland,2025
Buses,Euro VI A/B/C,Ireland,2025
Heavy Duty Trucks,Euro VI A/B/C,Ireland,2025
Light Commercial Vehicles,Euro 6 a/b/c,Ireland,2025
Motorcycles,Euro 5,Ireland,2025
Passenger Cars,Euro 6 a/b/c,Ireland,2025
Buses,Euro VI A/B/C,Italy,2025
Heavy Duty Trucks,Euro VI A/B/C,Italy,2025
Light Commercial Vehicles,Euro 5,Italy,2025
Motorcycles,Euro 5,Italy,2025
Passenger Cars,Euro 5,Italy,2025
Buses,Euro V,Latvia,2025
Heavy Duty Trucks,Euro V,Latvia,2025
Light Commercial Vehicles,Euro 5,Latvia,2025
Motorcycles,Euro 5,Latvia,2025
Passenger Cars,Euro 5,Latvia,2025
Buses,Euro VI A/B/C,Liechtenstein,2025
Heavy Duty Trucks,Euro VI A/B/C,Liechtenstein,2025
Light Commercial Vehicles,Euro 5,Liechtenstein,2025
Motorcycles,Euro 5,Liechtenstein,2025
Passenger Cars,Euro 5,Liechtenstein,2025
Buses,Euro V,Lithuania,2025
Heavy Duty Trucks,Euro V,Lithuania,2025
Light Commercial Vehicles,Euro 4,Lithuania,2025
Motorcycles,Euro 4,Lithuania,2025
Passenger Cars,Euro 4,Lithuania,2025
Buses,Euro VI D/E,Luxembourg,2025
Heavy Duty Trucks,Euro VI D/E,Luxembourg,2025
Light Commercial Vehicles,Euro 6 a/b/c,Luxembourg,2025
Motorcycles,Euro 5,Luxembourg,2025
Passenger Cars,Euro 6 a/b/c,Luxembourg,2025
Buses,Euro VI A/B/C,Malta,2025
Heavy Duty Trucks,Euro VI A/B/C,Malta,2025
Light Commercial Vehicles,Euro 5,Malta,2025
Motorcycles,Euro 5,Malta,2025
Passenger Cars,Euro 5,Malta,2025
Buses,Euro VI A/B/C,Montenegro,2025
Heavy Duty Trucks,Euro VI A/B/C,Montenegro,2025
Light Commercial Vehicles,Euro 5,Montenegro,2025
Motorcycles,Euro 5,Montenegro,2025
Passenger Cars,Euro 5,Montenegro,2025
Buses,Euro VI A/B/C,Netherlands,2025
Heavy Duty Trucks,Euro VI A/B/C,Netherlands,2025
Light Commercial Vehicles,Euro 5,Netherlands,2025
Motorcycles,Euro 5,Netherlands,2025
Passenger Cars,Euro 5,Netherlands,2025
Buses,Euro VI A/B/C,North Macedonia,2025
Heavy Duty Trucks,Euro VI A/B/C,North Macedonia,2025
Light Commercial Vehicles,Euro 5,North Macedonia,2025
Motorcycles,Euro 5,North Macedonia,2025
Passenger Cars,Euro 5,North Macedonia,2025
Buses,Euro VI A/B/C,Norway,2025
Heavy Duty Trucks,Euro VI A/B/C,Norway,2025
Light Commercial Vehicles,Euro 5,Norway,2025
Motorcycles,Euro 5,Norway,2025
Passenger Cars,Euro 5,Norway,2025
Buses,Euro V,Poland,2025
Heavy Duty Trucks,Euro V,Poland,2025
Light Commercial Vehicles,Euro 5,Poland,2025
Motorcycles,Euro 5,Poland,2025
Passenger Cars,Euro 5,Poland,2025
Buses,Euro V,Portugal,2025
Heavy Duty Trucks,Euro V,Portugal,2025
Light Commercial Vehicles,Euro 5,Portugal,2025
Motorcycles,Euro 5,Portugal,2025
Passenger Cars,Euro 5,Portugal,2025
Buses,Euro V,Romania,2025
Heavy Duty Trucks,Euro V,Romania,2025
Light Commercial Vehicles,Euro 4,Romania,2025
Motorcycles,Euro 4,Romania,2025
Passenger Cars,Euro 4,Romania,2025
Buses,Euro VI A/B/C,Serbia,2025
Heavy Duty Trucks,Euro VI A/B/C,Serbia,2025
Light Commercial Vehicles,Euro 5,Serbia,2025
Motorcycles,Euro 5,Serbia,2025
Passenger Cars,Euro 5,Serbia,2025
Buses,Euro VI A/B/C,Slovenia,2025
Heavy Duty Trucks,Euro VI A/B/C,Slovenia,2025
Light Commercial Vehicles,Euro 5,Slovenia,2025
Motorcycles,Euro 5,Slovenia,2025
Passenger Cars,Euro 5,Slovenia,2025
Buses,Euro V,Spain,2025
Heavy Duty Trucks,Euro V,Spain,2025
Light Commercial Vehicles,Euro 5,Spain,2025
Motorcycles,Euro 5,Spain,2025
Passenger Cars,Euro 5,Spain,2025
Buses,Euro VI A/B/C,Sweden,2025
Heavy Duty Trucks,Euro VI A/B/C,Sweden,2025
Light Commercial Vehicles,Euro 5,Sweden,2025
Motorcycles,Euro 5,Sweden,2025
Passenger Cars,Euro 5,Sweden,2025
Buses,Euro VI A/B/C,Switzerland,2025
Heavy Duty Trucks,Euro VI A/B/C,Switzerland,2025
Light Commercial Vehicles,Euro 6 a/b/c,Switzerland,2025
Motorcycles,Euro 5,Switzerland,2025
Passenger Cars,Euro 6 a/b/c,Switzerland,2025
Buses,Euro VI A/B/C,Turkey,2025
Heavy Duty Trucks,Euro VI A/B/C,Turkey,2025
Light Commercial Vehicles,Euro 5,Turkey,2025
Motorcycles,Euro 5,Turkey,2025
Passenger Cars,Euro 5,Turkey,2025
Buses,Euro VI A/B/C,United Kingdom,2025
Heavy Duty Trucks,Euro VI A/B/C,United Kingdom,2025
Light Commercial Vehicles,Euro 6 a/b/c,United Kingdom,2025
Motorcycles,Euro 5,United Kingdom,2025
Passenger Cars,Euro 6 a/b/c,United Kingdom,2025
Buses,Euro VI A/B/C,EU28,2025
Heavy Duty Trucks,Euro VI A/B/C,EU28,2025
Light Commercial Vehicles,Euro 5,EU28,2025
Motorcycles,Euro 5,EU28,2025
Passenger Cars,Euro 5,EU28,2025
Buses,Euro VI D/E,Albania,2030
Heavy Duty Trucks,Euro VI D/E,Albania,2030
Light Commercial Vehicles,Euro 6 a/b/c,Albania,2030
Motorcycles,Euro 5,Albania,2030
Passenger Cars,Euro 6 a/b/c,Albania,2030
Buses,Euro VI D/E,Austria,2030
Heavy Duty Trucks,Euro VI D/E,Austria,2030
Light Commercial Vehicles,Euro 6 d,Austria,2030
Motorcycles,Euro 5,Austria,2030
Passenger Cars,Euro 6 d,Austria,2030
Buses,Euro VI D/E,Belgium,2030
Heavy Duty Trucks,Euro VI D/E,Belgium,2030
Light Commercial Vehicles,Euro 6 d-temp,Belgium,2030
Motorcycles,Euro 5,Belgium,2030
Passenger Cars,Euro 6 d-temp,Belgium,2030
Buses,Euro VI D/E,Bulgaria,2030
Heavy Duty Trucks,Euro VI D/E,Bulgaria,2030
Light Commercial Vehicles,Euro 6 a/b/c,Bulgaria,2030
Motorcycles,Euro 5,Bulgaria,2030
Passenger Cars,Euro 6 a/b/c,Bulgaria,2030
Buses,Euro VI A/B/C,Croatia,2030
Heavy Duty Trucks,Euro VI A/B/C,Croatia,2030
Light Commercial Vehicles,Euro 6 a/b/c,Croatia,2030
Motorcycles,Euro 5,Croatia,2030
Passenger Cars,Euro 6 a/b/c,Croatia,2030
Buses,Euro VI D/E,Cyprus,2030
Heavy Duty Trucks,Euro VI D/E,Cyprus,2030
Light Commercial Vehicles,Euro 6 a/b/c,Cyprus,2030
Motorcycles,Euro 5,Cyprus,2030
Passenger Cars,Euro 6 a/b/c,Cyprus,2030
Buses,Euro VI A/B/C,Czech Republic,2030
Heavy Duty Trucks,Euro VI A/B/C,Czech Republic,2030
Light Commercial Vehicles,Euro 5,Czech Republic,2030
Motorcycles,Euro 5,Czech Republic,2030
Passenger Cars,Euro 5,Czech Republic,2030
Buses,Euro VI D/E,Denmark,2030
Heavy Duty Trucks,Euro VI D/E,Denmark,2030
Light Commercial Vehicles,Euro 6 d,Denmark,2030
Motorcycles,Euro 5,Denmark,2030
Passenger Cars,Euro 6 d,Denmark,2030
Buses,Euro VI D/E,EU27,2030
Heavy Duty Trucks,Euro VI D/E,EU27,2030
Light Commercial Vehicles,Euro 6 a/b/c,EU27,2030
Motorcycles,Euro 5,EU27,2030
Passenger Cars,Euro 6 a/b/c,EU27,2030
Buses,Euro VI A/B/C,Estonia,2030
Heavy Duty Trucks,Euro VI A/B/C,Estonia,2030
Light Commercial Vehicles,Euro 5,Estonia,2030
Motorcycles,Euro 5,Estonia,2030
Passenger Cars,Euro 5,Estonia,2030
Buses,Euro VI A/B/C,Finland,2030
Heavy Duty Trucks,Euro VI A/B/C,Finland,2030
Light Commercial Vehicles,Euro 6 a/b/c,Finland,2030
Motorcycles,Euro 5,Finland,2030
Passenger Cars,Euro 6 a/b/c,Finland,2030
Buses,Euro VI D/E,France,2030
Heavy Duty Trucks,Euro VI D/E,France,2030
Light Commercial Vehicles,Euro 6 d-temp,France,2030
Motorcycles,Euro 5,France,2030
Passenger Cars,Euro 6 d-temp,France,2030
Buses,Euro VI D/E,Germany,2030
Heavy Duty Trucks,Euro VI D/E,Germany,2030
Light Commercial Vehicles,Euro 6 d-temp,Germany,2030
Motorcycles,Euro 5,Germany,2030
Passenger Cars,Euro 6 d-temp,Germany,2030
Buses,Euro VI A/B/C,Greece,2030
Heavy Duty Trucks,Euro VI A/B/C,Greece,2030
Light Commercial Vehicles,Euro 5,Greece,2030
Motorcycles,Euro 5,Greece,2030
Passenger Cars,Euro 5,Greece,2030
Buses,Euro VI A/B/C,Hungary,2030
Heavy Duty Trucks,Euro VI A/B/C,Hungary,2030
Light Commercial Vehicles,Euro 6 a/b/c,Hungary,2030
Motorcycles,Euro 5,Hungary,2030
Passenger Cars,Euro 6 a/b/c,Hungary,2030
Buses,Euro VI D/E,Iceland,2030
Heavy Duty Trucks,Euro VI D/E,Iceland,2030
Light Commercial Vehicles,Euro 6 a/b/c,Iceland,2030
Motorcycles,Euro 5,Iceland,2030
Passenger Cars,Euro 6 a/b/c,Iceland,2030
Buses,Euro VI D/E,Ireland,2030
Heavy Duty Trucks,Euro VI D/E,Ireland,2030
Light Commercial Vehicles,Euro 6 d,Ireland,2030
Motorcycles,Euro 5,Ireland,2030
Passenger Cars,Euro 6 d,Ireland,2030
Buses,Euro VI D/E,Italy,2030
Heavy Duty Trucks,Euro VI D/E,Italy,2030
Light Commercial Vehicles,Euro 6 a/b/c,Italy,2030
Motorcycles,Euro 5,Italy,2030
Passenger Cars,Euro 6 a/b/c,Italy,2030
Buses,Euro VI A/B/C,Latvia,2030
Heavy Duty Trucks,Euro VI A/B/C,Latvia,2030
Light Commercial Vehicles,Euro 6 a/b/c,Latvia,2030
Motorcycles,Euro 5,Latvia,2030
Passenger Cars,Euro 6 a/b/c,Latvia,2030
Buses,Euro VI D/E,Liechtenstein,2030
Heavy Duty Trucks,Euro VI D/E,Liechtenstein,2030
Light Commercial Vehicles,Euro 6 a/b/c,Liechtenstein,2030
Motorcycles,Euro 5,Liechtenstein,2030
Passenger Cars,Euro 6 a/b/c,Liechtenstein,2030
Buses,Euro VI A/B/C,Lithuania,2030
Heavy Duty Trucks,Euro VI A/B/C,Lithuania,2030
Light Commercial Vehicles,Euro 5,Lithuania,2030
Motorcycles,Euro 5,Lithuania,2030
Passenger Cars,Euro 5,Lithuania,2030
Buses,Euro VI D/E,Luxembourg,2030
Heavy Duty Trucks,Euro VI D/E,Luxembourg,2030
Light Commercial Vehicles,Euro 6 d,Luxembourg,2030
Motorcycles,Euro 5,Luxembourg,2030
Passenger Cars,Euro 6 d,Luxembourg,2030
Buses,Euro VI D/E,Malta,2030
Heavy Duty Trucks,Euro VI D/E,Malta,2030
Light Commercial Vehicles,Euro 6 a/b/c,Malta,2030
Motorcycles,Euro 5,Malta,2030
Passenger Cars,Euro 6 a/b/c,Malta,2030
Buses,Euro VI D/E,Montenegro,2030
Heavy Duty Trucks,Euro VI D/E,Montenegro,2030
Light Commercial Vehicles,Euro 6 a/b/c,Montenegro,2030
Motorcycles,Euro 5,Montenegro,2030
Passenger Cars,Euro 6 a/b/c,Montenegro,2030
Buses,Euro VI D/E,Netherlands,2030
Heavy Duty Trucks,Euro VI D/E,Netherlands,2030
Light Commercial Vehicles,Euro 6 a/b/c,Netherlands,2030
Motorcycles,Euro 5,Netherlands,2030
Passenger Cars,Euro 6 a/b/c,Netherlands,2030
Buses,Euro VI D/E,North Macedonia,2030
Heavy Duty Trucks,Euro VI D/E,North Macedonia,2030
Light Commercial Vehicles,Euro 6 a/b/c,North Macedonia,2030
Motorcycles,Euro 5,North Macedonia,2030
Passenger Cars,Euro 6 a/b/c,North Macedonia,2030
Buses,Euro VI D/E,Norway,2030
Heavy Duty Trucks,Euro VI D/E,Norway,2030
Light Commercial Vehicles,Euro 6 d-temp,Norway,2030
Motorcycles,Euro 5,Norway,2030
Passenger Cars,Euro 6 d-temp,Norway,2030
Buses,Euro VI A/B/C,Poland,2030
Heavy Duty Trucks,Euro VI A/B/C,Poland,2030
Light Commercial Vehicles,Euro 6 a/b/c,Poland,2030
Motorcycles,Euro 5,Poland,2030
Passenger Cars,Euro 6 a/b/c,Poland,2030
Buses,Euro VI A/B/C,Portugal,2030
Heavy Duty Trucks,Euro VI A/B/C,Portugal,2030
Light Commercial Vehicles,Euro 6 a/b/c,Portugal,2030
Motorcycles,Euro 5,Portugal,2030
Passenger Cars,Euro 6 a/b/c,Portugal,2030
Buses,Euro VI A/B/C,Romania,2030
Heavy Duty Trucks,Euro VI A/B/C,Romania,2030
Light Commercial Vehicles,Euro 5,Romania,2030
Motorcycles,Euro 5,Romania,2030
Passenger Cars,Euro 5,Romania,2030
Buses,Euro VI D/E,Serbia,2030
Heavy Duty Trucks,Euro VI D/E,Serbia,2030
Light Commercial Vehicles,Euro 6 a/b/c,Serbia,2030
Motorcycles,Euro 5,Serbia,2030
Passenger Cars,Euro 6 a/b/c,Serbia,2030
Buses,Euro VI D/E,Slovenia,2030
Heavy Duty Trucks,Euro VI D/E,Slovenia,2030
Light Commercial Vehicles,Euro 6 a/b/c,Slovenia,2030
Motorcycles,Euro 5,Slovenia,2030
Passenger Cars,Euro 6 a/b/c,Slovenia,2030
Buses,Euro VI A/B/C,Spain,2030
Heavy Duty Trucks,Euro VI A/B/C,Spain,2030
Light Commercial Vehicles,Euro 6 a/b/c,Spain,2030
Motorcycles,Euro 5,Spain,2030
Passenger Cars,Euro 6 a/b/c,Spain,2030
Buses,Euro VI D/E,Sweden,2030
Heavy Duty Trucks,Euro VI D/E,Sweden,2030
Light Commercial Vehicles,Euro 6 d-temp,Sweden,2030
Motorcycles,Euro 5,Sweden,2030
Passenger Cars,Euro 6 d-temp,Sweden,2030
Buses,Euro VI D/E,Switzerland,2030
Heavy Duty Trucks,Euro VI D/E,Switzerland,2030
Light Commercial Vehicles,Euro 6 d,Switzerland,2030
Motorcycles,Euro 5,Switzerland,2030
Passenger Cars,Euro 6 d,Switzerland,2030
Buses,Euro VI D/E,Turkey,2030
Heavy Duty Trucks,Euro VI D/E,Turkey,2030
Light Commercial Vehicles,Euro 6 a/b/c,Turkey,2030
Motorcycles,Euro 5,Turkey,2030
Passenger Cars,Euro 6 a/b/c,Turkey,2030
Buses,Euro VI D/E,United Kingdom,2030
Heavy Duty Trucks,Euro VI D/E,United Kingdom,2030
Light Commercial Vehicles,Euro 6 d-temp,United Kingdom,2030
Motorcycles,Euro 5,United Kingdom,2030
Passenger Cars,Euro 6 d-temp,United Kingdom,2030
Buses,Euro VI D/E,EU28,2030
Heavy Duty Trucks,Euro VI D/E,EU28,2030
Light Commercial Vehicles,Euro 6 a/b/c,EU28,2030
Motorcycles,Euro 5,EU28,2030
Passenger Cars,Euro 6 a/b/c,EU28,2030
